Data,Campanha,Custo
2025-04-01,Campaign_Generic_1,225.18
2025-04-01,Campaign_Generic_2,64.28
2025-04-01,Campaign_Search_Brand,814.81
2025-04-01,Campaign_PMax_1,1949.17
2025-04-02,Campaign_Generic_1,223.41
2025-04-02,Campaign_Generic_2,76.64
2025-04-02,Campaign_Search_Brand,1090.1
2025-04-02,Campaign_PMax_1,2229.39
2025-04-03,Campaign_Generic_1,236.82
2025-04-03,Campaign_Generic_2,92.02
2025-04-03,Campaign_Search_Brand,942.65
2025-04-03,Campaign_PMax_1,2384.0
2025-04-04,Campaign_Generic_1,149.64
2025-04-04,Campaign_Generic_2,61.99
2025-04-04,Campaign_Search_Brand,977.64
2025-04-04,Campaign_PMax_1,2544.67
2025-04-05,Campaign_Generic_1,227.12
2025-04-05,Campaign_Generic_2,99.63
2025-04-05,Campaign_Search_Brand,886.88
2025-04-05,Campaign_PMax_1,2881.69
2025-04-06,Campaign_Generic_1,323.14
2025-04-06,Campaign_Generic_2,83.91
2025-04-06,Campaign_Search_Brand,1054.41
2025-04-06,Campaign_PMax_1,2806.78
2025-04-07,Campaign_Generic_1,338.77
2025-04-07,Campaign_Generic_2,101.5
2025-04-07,Campaign_Search_Brand,1258.47
2025-04-07,Campaign_PMax_1,2710.94
2025-04-08,Campaign_Generic_1,310.09
2025-04-08,Campaign_Generic_2,87.35
2025-04-08,Campaign_Search_Brand,1261.9
2025-04-08,Campaign_PMax_1,2876.5
2025-04-09,Campaign_Generic_1,333.43
2025-04-09,Campaign_Generic_2,67.11
2025-04-09,Campaign_Search_Brand,1450.01
2025-04-09,Campaign_PMax_1,3082.45
2025-04-10,Campaign_Generic_1,338.76
2025-04-10,Campaign_Generic_2,81.2
2025-04-10,Campaign_Search_Brand,1363.14
2025-04-10,Campaign_PMax_1,2992.83
2025-04-11,Campaign_Generic_1,330.28
2025-04-11,Campaign_Generic_2,61.22
2025-04-11,Campaign_Search_Brand,1104.57
2025-04-11,Campaign_PMax_1,2936.61
2025-04-12,Campaign_Generic_1,302.4
2025-04-12,Campaign_Generic_2,94.07
2025-04-12,Campaign_Search_Brand,978.75
2025-04-12,Campaign_PMax_1,3258.41
2025-04-13,Campaign_Generic_1,428.77
2025-04-13,Campaign_Generic_2,88.85
2025-04-13,Campaign_Search_Brand,1242.94
2025-04-13,Campaign_PMax_1,3316.88
2025-04-14,Campaign_Generic_1,420.89
2025-04-14,Campaign_Generic_2,109.95
2025-04-14,Campaign_Search_Brand,1444.46
2025-04-14,Campaign_PMax_1,2677.85
2025-04-15,Campaign_Generic_1,449.12
2025-04-15,Campaign_Generic_2,105.19
2025-04-15,Campaign_Search_Brand,1616.57
2025-04-15,Campaign_PMax_1,3381.77
2025-04-16,Campaign_Generic_1,430.27
2025-04-16,Campaign_Generic_2,124.98
2025-04-16,Campaign_Search_Brand,1464.45
2025-04-16,Campaign_PMax_1,3408.25
2025-04-17,Campaign_Generic_1,322.95
2025-04-17,Campaign_Generic_2,69.76
2025-04-17,Campaign_Search_Brand,1196.6
2025-04-17,Campaign_PMax_1,2616.6
